,row,git_commit,gh_project_name,gh_is_pr,git_merged_with,gh_lang,git_branch,gh_first_commit_created_at,gh_team_size,git_commits,git_num_commits,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,gh_src_churn,gh_test_churn,gh_files_added,gh_files_deleted,gh_files_modified,gh_tests_added,gh_tests_deleted,gh_src_files,gh_doc_files,gh_other_files,gh_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,tr_build_id,gh_pull_req_num,tr_status,tr_duration,tr_started_at,tr_jobs,tr_build_number,tr_job_id,tr_lan,tr_setup_time,tr_analyzer,tr_frameworks,tr_tests_ok,tr_tests_fail,tr_tests_run,tr_tests_skipped,tr_failed_tests,tr_testduration,tr_purebuildduration,tr_tests_ran,tr_tests_failed,git_num_committers,tr_num_jobs,tr_prev_build,tr_ci_latency
85,86,572e527745193721cd050493529b76092af70e24,47deg/appsly-android-rest,False,,java,master,2013-12-06 22:16:10,4,c67e65a39f0e87f546b9ece9c82a332b357fc034,1,0,0,0,6803,189,52,50,1,3,0,98,0,18,12,1925,132.467532467532,1.55844155844156,4.67532467532468,True,,15064538,,errored,57.0,2013-12-06 22:16:10,"[15064539, 15064540, 15064541, 15064542]",36,15064540,java,0.0,java-ant,,,,,,,,,False,False,1,4,5783.0,-1
52,53,13ad8c06bef212b9270eea5547a109da87e4e866,47deg/appsly-android-rest,False,,java,master,2013-11-15 08:04:45,4,295f858a9a55e943ab884b4019174fd432878722,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14011892,,errored,62.0,2013-11-15 08:04:45,"[14011893, 14011894, 14011895, 14011896]",31,14011903,java,0.0,java-ant,,,,,,,,,False,False,1,4,5122.0,-1
98,99,11f1c1741701a578d73976c48508f439e5d86457,47deg/appsly-android-rest,False,,java,master,2013-12-10 20:53:52,4,876a83a36beb5be55ef44451056674517b35f688,1,0,0,0,12,0,0,0,1,0,0,1,0,0,4,2366,107.776838546069,1.26796280642434,3.80388841927303,True,,15248884,,errored,79.0,2013-12-10 20:53:52,"[15248885, 15248886, 15248887, 15248888]",41,15248886,java,0.0,java-ant,,,,,,,,,False,False,1,4,5304.0,-1
70,71,8c95d75168f2ea1cff49ae809c4baa6b2725bc8a,47deg/appsly-android-rest,False,,java,master,2013-11-15 08:06:18,4,13ad8c06bef212b9270eea5547a109da87e4e866,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14011914,,errored,45.0,2013-11-15 08:06:18,"[14011915, 14011916, 14011917, 14011918]",32,14011915,java,0.0,java-ant,,,,,,,,,False,False,1,4,5122.0,-1
15,16,c08c4cdee730059ef0ddc0c55a6c5b6e7538af26,47deg/appsly-android-rest,False,,java,master,2013-08-17 00:48:52,3,0f45173135d6f5df5ab422627910211fb5b589b1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2318,0.0,0.0,0.0,True,,10297759,,errored,49.0,2013-08-16 23:48:52,"[10297762, 10297763, 10297761, 10297760]",18,10297761,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
35,36,3b5ce759b870e0c0171de34ac883a41974635c85,47deg/appsly-android-rest,False,,java,master,2013-10-14 16:38:39,4,35a32f0135d094bfe752af1298b4c050491c295d,1,0,0,0,0,0,0,0,1,0,1,0,0,1,10,2426,68.0131904369332,0.412201154163232,2.47320692497939,True,,12525227,,errored,54.0,2013-10-14 15:38:39,"[12525228, 12525229, 12525230, 12525231]",25,12525228,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
40,41,c952c1a5e77bf525fd13fb623f90bf2f4a812898,47deg/appsly-android-rest,False,,java,master,2013-10-15 11:17:58,4,36ebebad728ebb5d41fc1e6cd97a129fec191af3,1,0,0,0,340,59,2,0,3,0,0,8,0,0,5,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,12561798,,errored,53.0,2013-10-15 10:17:58,"[12561799, 12561800, 12561801, 12561802]",27,12561800,java,0.0,java-ant,,,,,,,,,False,False,1,4,4991.0,-1
42,43,c952c1a5e77bf525fd13fb623f90bf2f4a812898,47deg/appsly-android-rest,False,,java,master,2013-10-15 11:17:58,4,36ebebad728ebb5d41fc1e6cd97a129fec191af3,1,0,0,0,340,59,2,0,3,0,0,8,0,0,5,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,12561798,,errored,53.0,2013-10-15 10:17:58,"[12561799, 12561800, 12561801, 12561802]",27,12561799,java,0.0,java-ant,,,,,,,,,False,False,1,4,4991.0,-1
57,58,13ad8c06bef212b9270eea5547a109da87e4e866,47deg/appsly-android-rest,False,,java,master,2013-11-15 08:04:45,4,295f858a9a55e943ab884b4019174fd432878722,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14011892,,errored,62.0,2013-11-15 08:04:45,"[14011893, 14011894, 14011895, 14011896]",31,14011902,java,0.0,java-ant,,,,,,,,,False,False,1,4,5122.0,-1
92,93,2ad0a07de67a6e18822359489a65995dc21f3e95,47deg/appsly-android-rest,False,,java,master,2013-12-09 22:48:02,4,118a09f9365a522e9a2284ee4837ee6724c53657,1,0,0,0,21,0,0,0,3,0,0,3,0,0,2,2114,120.624408703879,1.41911069063387,4.25733207190161,True,,15195446,,errored,51.0,2013-12-09 22:48:02,"[15195447, 15195450, 15195451, 15195452]",39,15195451,java,0.0,java-ant,,,,,,,,,False,False,1,4,5304.0,-1
58,59,13ad8c06bef212b9270eea5547a109da87e4e866,47deg/appsly-android-rest,False,,java,master,2013-11-15 08:04:45,4,295f858a9a55e943ab884b4019174fd432878722,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14011892,,errored,62.0,2013-11-15 08:04:45,"[14011893, 14011894, 14011895, 14011896]",30,14011896,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
60,61,13ad8c06bef212b9270eea5547a109da87e4e866,47deg/appsly-android-rest,False,,java,restrung-1.1,2013-11-15 08:04:58,4,295f858a9a55e943ab884b4019174fd432878722,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14011899,,errored,49.0,2013-11-15 08:04:58,"[14011900, 14011901, 14011902, 14011903]",31,14011903,java,0.0,java-ant,,,,,,,,,False,False,1,4,8318.0,-1
